Age,Marital_Status,Dependents,Employment_Status,Residential_Status,Annual_Income,Monthly_Expenses,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Bank_Account_History,Transaction_Frequency
47,1,1,1,0,145638,1043,1,5962,16004,1,8,24
40,1,1,1,1,54705,1481,2,39837,9023,1,8,16
52,0,0,1,0,55022,1541,1,46847,9706,1,0,15
20,1,3,0,0,43548,3642,0,8084,677,0,2,7
64,1,3,1,0,57348,2611,2,48547,8823,0,1,21
42,1,1,2,0,94430,2806,0,48287,14014,0,7,26
49,0,3,2,0,111634,4063,2,21787,20730,0,5,14
44,1,2,1,0,78162,3292,1,47326,17773,1,7,23
26,1,0,1,1,29514,735,0,16547,16684,0,9,11
40,0,3,2,0,63330,3502,2,36868,4020,1,0,8
37,1,0,1,0,61643,1094,1,49789,7733,0,6,15
41,1,1,2,0,28002,2611,1,24287,18447,0,9,22
41,0,3,1,0,108631,4947,1,16582,26825,0,6,15
62,0,3,0,0,50156,3513,0,36000,12816,0,7,23
36,1,2,2,0,82795,854,1,17387,15321,0,5,26
25,0,2,0,0,73391,1751,0,1275,25489,0,2,27
23,1,3,0,1,49879,2838,0,18565,8181,1,8,15
30,1,3,1,0,118377,1912,0,43705,11561,0,7,16
65,0,3,1,0,25886,1708,2,18848,3678,1,3,24
40,0,2,0,0,21061,1189,2,22383,1211,0,4,5
38,1,2,0,2,135955,4902,0,43997,11403,0,3,14
31,0,3,2,1,68187,3732,0,12937,7101,0,7,22
27,0,2,1,1,127222,1666,2,20455,21606,0,9,24
49,1,2,2,0,119459,3589,1,9764,17381,0,5,16
42,0,1,0,0,68200,3441,0,6345,3230,0,7,26
27,0,3,0,1,142363,2681,0,26533,9851,1,6,11
39,1,0,0,0,146493,4282,2,5213,17694,0,9,17
31,1,1,0,0,54690,4220,2,444,28436,0,8,22
28,0,1,0,0,142885,2892,0,16811,21696,0,6,25
55,1,1,2,2,58776,4715,1,47575,4698,0,2,26
37,1,0,0,0,96967,2831,2,22319,21084,1,3,10
38,1,2,0,0,56699,3200,0,28662,14203,1,1,19
46,1,1,1,0,127047,4983,0,24528,2562,0,3,12
47,1,3,1,0,21492,3546,2,22816,14947,0,4,15
31,0,1,1,0,102860,546,0,42006,15961,0,1,15
37,0,0,1,0,144967,4257,0,35780,24885,0,4,14
67,1,0,0,1,43188,2092,2,24591,7597,1,8,13
35,1,2,1,2,52796,2660,2,31862,13570,0,7,21
24,1,1,0,0,52493,4844,1,5510,2459,1,3,28
47,0,0,1,0,127936,1928,2,46699,20823,0,7,11
36,0,0,0,1,52913,2263,0,31398,21249,0,0,20
31,0,0,0,0,99931,1693,2,8329,23015,0,8,26
27,1,3,0,0,21145,3002,1,12956,128,0,4,8
38,0,1,1,1,133511,2554,2,19694,16934,0,0,6
29,0,2,0,1,104865,1711,2,2074,26562,1,2,23
43,0,2,2,0,114536,4718,2,38439,5494,0,3,24
29,1,1,0,0,89788,4975,2,37332,29977,1,9,11
25,0,1,1,0,149016,3122,0,18713,3108,0,7,26
31,1,3,0,1,62001,971,2,7738,6212,0,2,21
20,1,3,1,0,22410,4639,1,37537,21536,0,3,18
24,0,1,2,0,66859,3753,1,43403,21097,0,9,18
47,1,1,0,2,39367,1684,0,11446,2858,0,7,19
28,0,3,0,0,104180,1720,0,12946,25331,0,5,19
55,0,1,2,0,57006,2207,1,44201,6507,0,8,19
46,0,3,0,1,146598,1770,0,45812,23084,0,7,5
35,1,1,1,2,66458,560,0,2489,20352,0,6,18
35,0,0,1,0,120618,3994,1,43971,21640,0,0,13
28,1,1,0,0,96659,4472,1,13809,12609,0,5,25
33,0,0,2,1,59400,1900,1,33194,25626,0,8,14
41,1,1,2,1,56999,3013,2,44109,26195,0,5,20
43,1,1,1,0,74179,980,0,16316,4893,1,1,25
27,0,0,0,0,79931,2028,1,42093,10173,0,4,26
55,0,3,0,0,33477,1533,2,44777,21488,0,1,26
48,0,1,0,0,65252,2054,2,38636,26170,0,1,17
40,0,3,0,0,114679,2313,0,20133,28595,0,2,11
37,1,0,0,1,50453,3768,2,12166,698,0,3,26
19,0,3,0,1,37733,4043,0,29804,28337,0,1,7
46,0,1,0,1,65028,3869,2,14544,1553,0,9,8
31,0,2,0,0,108714,4477,2,47581,3295,0,6,18
43,1,2,0,1,72965,513,2,41150,21813,0,3,13
25,0,0,1,1,55934,2803,2,39805,14004,0,5,6
26,1,0,0,1,107528,3751,2,46641,18366,0,3,21
45,1,3,0,1,68416,3762,2,7246,6426,1,7,8
66,1,0,0,2,30539,3357,0,47389,7683,0,2,15
44,0,0,0,0,69218,2536,1,32814,5391,0,7,20
39,0,1,1,0,110912,1914,1,23164,17790,0,1,25
18,0,3,1,0,52065,4077,1,24850,6618,0,8,22
30,1,2,1,1,66000,3005,1,3117,13890,1,7,6
36,0,3,1,0,78057,3646,2,31391,22452,0,6,13
48,0,2,0,0,120833,2926,1,7397,20731,0,7,11
41,1,1,0,0,123810,2687,2,27049,24097,1,2,24
57,1,1,1,0,67455,3424,0,13678,10909,1,4,20
48,0,0,1,1,123269,1328,0,24211,29390,1,0,7
67,0,3,0,1,20033,2665,1,7047,29427,0,3,23
43,0,3,2,2,109665,4243,1,1091,20730,0,7,18
46,1,1,1,2,136884,4655,2,29609,21555,0,5,14
39,0,3,0,2,74953,2962,1,49556,29211,0,8,7
48,0,0,0,0,141811,4248,0,4008,8565,0,8,20
37,1,0,1,0,146111,1286,0,43890,546,0,4,25
38,0,2,1,0,28525,1910,0,35086,29431,0,8,22
40,0,0,1,0,144764,4660,1,33981,11552,1,6,24
64,1,0,1,0,67223,2630,1,40363,16314,0,2,5
38,1,0,0,0,58919,3965,0,44153,25945,0,6,17
21,1,0,0,0,35872,3665,1,13218,14821,0,1,23
69,1,1,0,0,26384,511,1,5971,2244,0,7,22
41,1,1,0,0,33758,4525,2,30000,20085,0,9,6
30,0,3,0,1,20480,2166,0,2975,5241,0,2,11
22,0,0,0,1,43929,2964,0,25803,2497,0,4,21
32,0,1,0,2,140125,759,0,21679,8407,0,7,15
25,0,2,1,0,87754,3690,1,25102,27183,0,1,24
37,1,3,0,0,63168,862,1,32040,4576,0,4,26
54,0,2,0,0,51017,4190,2,36578,16940,1,3,20
32,1,1,1,0,120676,3071,1,23003,4270,0,6,9
56,1,2,0,2,39426,1107,2,41266,29145,0,7,10
43,0,2,2,0,66346,4665,1,20657,9496,0,7,10
34,0,3,1,0,121463,2538,2,19783,27351,0,0,18
34,1,3,0,0,55791,3053,0,43396,25394,1,7,19
31,0,3,1,0,133205,1239,0,159,7623,1,8,14
43,1,3,1,0,120131,941,1,47715,7543,0,9,10
46,0,2,2,0,134426,3776,1,16126,27303,0,4,16
38,1,1,1,0,146614,2368,2,49998,18466,0,9,22
49,0,1,0,1,124403,1755,2,12689,15525,0,5,22
32,0,2,2,0,72465,2232,0,33284,24773,0,9,16
28,0,1,0,1,123723,2384,0,19685,10400,0,8,17
64,1,0,1,0,32596,1076,2,35695,10103,0,6,26
29,0,3,2,0,54532,3784,2,22023,3115,0,3,26
28,1,0,2,2,129277,1897,0,5389,7846,1,0,9
36,0,2,0,2,126492,4494,2,13596,27176,0,3,16
30,0,1,2,1,67067,1525,0,12358,28717,0,2,11
32,0,0,0,0,60907,2451,1,46406,21598,0,6,13
30,1,3,1,0,122551,1397,0,18270,19376,1,7,29
29,0,1,0,0,139136,3597,2,45248,26485,0,8,10
33,0,0,1,0,111094,2624,2,2581,9057,0,2,12
47,0,1,1,1,51245,2841,1,12422,22914,0,0,27
36,1,0,0,2,56431,3268,2,2937,22038,0,4,22
59,0,1,1,0,62480,2012,2,27761,26078,1,0,8
35,1,1,0,0,55244,2172,0,1952,5458,0,9,16
42,1,0,0,1,133432,1548,0,43671,4278,0,7,6
45,0,0,0,1,61653,1089,0,31060,11867,0,2,26
29,1,2,0,1,62261,4549,1,7122,12933,0,8,8
60,0,1,1,1,56155,4883,2,3414,5001,1,4,5
46,0,0,1,2,95707,4655,0,47107,18694,0,1,5
41,0,2,2,0,84633,1871,0,34033,23242,0,3,22
45,1,1,0,1,72278,2153,2,10227,24675,0,5,10
28,0,0,2,0,58582,3143,1,22263,16699,0,1,24
40,0,0,0,0,97045,1215,0,17896,19546,0,1,12
33,0,2,2,0,108684,1609,0,40160,29205,0,8,15
43,0,2,0,1,119625,1491,0,620,28542,0,7,23
47,0,1,0,1,78318,4113,2,37760,25848,1,9,24
31,1,1,1,0,138422,1880,0,47501,11348,0,5,11
47,1,2,0,0,145393,3612,0,45869,3345,1,1,25
44,0,3,1,2,88050,1300,1,34385,29141,0,9,29
27,0,0,0,1,119904,3849,0,29978,11827,0,2,16
41,0,2,0,1,145420,2525,2,28807,17503,0,3,12
30,0,3,1,0,67244,898,2,7104,25152,0,4,26
44,1,1,1,0,57462,1549,0,25667,6543,0,6,28
39,0,0,1,0,103924,4262,2,46086,2282,0,9,22
63,1,3,2,0,31240,2816,1,34069,26266,0,1,27
48,0,3,1,0,122460,1007,1,447,17117,1,3,16
30,0,0,1,1,125913,2399,0,989,17222,0,0,10
40,0,3,2,1,96189,3121,1,32457,6599,1,3,19
46,0,3,0,0,88419,3354,1,29650,15221,0,5,10
57,0,1,2,0,21200,1335,1,28248,16292,0,7,8
39,1,2,0,0,124991,1312,2,11242,11787,0,0,6
38,0,0,0,0,34441,1427,0,36047,10070,0,2,25
32,1,1,0,2,131140,1771,1,34394,14833,0,4,26
25,1,2,1,0,128142,3867,1,19607,15135,0,3,18
47,0,3,2,0,57994,1858,0,26594,2026,0,3,22
19,0,3,0,0,56453,959,2,7639,27852,0,5,27
41,1,1,0,0,66603,1821,2,47550,3692,0,4,20
66,0,0,0,1,65331,1727,2,18455,1813,0,6,13
29,0,1,0,0,67717,3190,2,26236,19674,0,5,29
29,0,0,0,2,66343,1297,2,13059,26883,1,1,13
29,1,0,0,1,80448,4482,1,24314,27472,0,3,20
51,1,1,1,2,45982,712,1,21811,11582,0,3,18
38,0,0,0,0,147204,4031,2,46182,1466,0,2,29
29,0,1,0,0,57135,1652,0,3627,29578,0,0,20
26,1,0,0,1,101260,4631,1,1734,2746,0,8,14
41,0,1,0,1,107900,1605,2,15884,20705,0,2,23
28,0,0,1,0,105297,4625,0,7026,22573,0,2,6
62,1,2,0,0,33394,722,0,21853,29019,0,5,29
30,0,0,1,1,78450,2333,0,38205,23435,0,3,10
27,0,1,0,0,71311,3860,1,27642,26754,0,9,26
28,1,2,0,0,70637,2440,1,45630,19878,0,9,13
32,1,3,1,2,89814,2572,1,21374,17438,0,3,15
19,0,3,0,0,64631,2824,2,17859,2460,0,2,28
33,1,2,1,0,147437,3177,2,19460,9117,0,8,29
59,0,2,0,0,59516,1014,2,31327,4828,0,2,17
46,1,2,1,1,68189,1104,2,25393,18192,0,3,12
37,1,1,0,0,149465,4800,0,21922,11661,0,4,13
42,0,0,1,0,41254,4798,1,42770,5974,0,3,16
41,0,3,0,1,134848,2080,0,26750,5330,1,1,17
28,1,2,2,0,87531,4295,1,47462,29468,0,0,24
47,1,3,0,2,63714,553,0,44260,9205,0,9,18
27,0,3,2,2,37519,839,1,34151,16384,1,9,23
49,1,2,0,0,122133,2885,2,43906,21367,0,4,29
61,0,3,0,1,47592,3819,1,26981,22542,1,6,22
34,1,3,1,0,30433,3681,2,44392,28887,1,5,15
25,0,1,2,0,73990,4340,0,36159,8616,0,4,12
27,1,3,0,0,71734,3884,2,19270,21869,0,9,19
30,1,3,2,1,143028,2131,0,43000,25823,1,8,20
29,1,2,0,0,60215,4210,2,9258,26454,0,2,26
36,1,1,2,2,96272,1282,2,24183,20752,1,7,29
35,0,2,1,0,85374,4737,1,38482,6664,0,1,26
45,1,3,2,2,138032,4990,2,36819,18095,0,6,9
26,0,2,2,1,26651,3537,0,46624,6218,0,5,15
64,0,3,0,0,61853,1367,0,33766,19424,0,9,13
31,0,1,0,1,58166,4993,0,19760,22672,0,0,12
43,1,0,0,2,64250,852,0,5460,19962,0,7,18
37,1,1,0,0,69098,1984,0,1322,19650,1,7,20
45,1,3,0,2,76497,2766,0,9794,21850,0,0,19
56,0,2,0,0,25155,3291,1,23671,9897,0,4,23
35,1,0,0,0,61427,4905,1,38502,18346,0,7,18
19,0,3,2,0,67734,620,2,13321,5085,0,4,19
47,0,2,1,0,102025,4751,0,22837,28701,0,2,21
25,0,0,1,0,58546,1263,0,36473,20066,0,0,9
24,1,1,0,0,36783,2343,2,17015,15886,0,6,29
26,1,2,1,0,62726,4205,1,6888,16336,0,6,18
40,0,3,0,0,69238,2183,1,35379,21588,1,0,7
48,1,2,2,0,66652,2639,2,31113,7624,0,8,29
43,0,2,0,1,86473,3271,0,37152,8441,0,4,20
38,0,2,0,0,107055,4934,1,3474,14722,0,1,20
35,0,1,0,1,58026,3396,1,18547,16302,0,8,5
22,1,1,2,0,33150,4118,1,7583,12442,1,9,13
35,0,3,1,1,75276,4466,0,48342,29337,1,0,23
38,0,0,2,1,132526,4748,1,7954,23398,0,8,20
33,1,0,0,0,59496,2706,2,8670,6904,0,6,26
50,0,1,0,0,23937,672,2,47329,29830,0,0,29
30,1,2,0,0,121634,2196,2,46178,19464,1,7,18
24,0,0,0,0,59678,763,1,16405,4962,0,9,29
62,1,2,2,1,54031,3854,2,47979,11848,0,5,8
34,0,3,1,0,76220,2386,1,9420,8040,0,6,24
49,0,0,0,0,57378,576,0,21447,14127,0,6,12
37,1,1,2,1,51600,4680,1,18268,14896,0,2,18
33,1,3,0,1,101779,3271,2,18443,26932,0,8,12
34,1,0,0,0,63413,795,1,7871,11481,0,8,26
28,1,3,1,0,65132,2306,0,30706,15400,0,9,29
38,1,2,1,0,57234,1888,2,4375,19469,0,5,26
23,0,2,0,1,60086,3064,0,8933,28687,1,1,19
47,0,3,2,0,62429,2910,0,49501,5192,0,4,13
25,0,2,0,0,60801,3949,1,34374,2918,0,3,15
35,0,2,2,1,101778,2424,1,14993,20143,0,5,19
35,1,2,0,0,50761,1646,1,29372,28840,0,6,18
41,0,1,1,0,75690,3593,1,38863,5826,0,3,6
49,0,0,0,1,102645,775,2,17888,10154,0,6,18
56,1,2,1,0,46781,2963,1,10866,8442,1,7,8
33,0,3,2,0,50525,1579,2,31404,27557,1,6,26
40,1,1,2,1,109026,3059,1,23970,167,0,8,27
45,1,1,0,0,90036,2438,1,7442,354,0,1,26
44,0,3,0,0,22908,3052,2,34611,27828,0,0,22
33,1,2,0,0,72493,3840,0,31029,20054,0,6,12
22,0,1,1,0,56211,3902,0,11357,21596,0,2,25
30,0,0,1,0,92494,561,0,41187,24023,0,5,20
32,1,1,1,0,120118,1349,0,2612,29372,0,1,15
33,0,2,0,1,102866,1719,1,41228,21225,0,8,17
37,0,1,1,0,109681,4464,2,37399,22799,0,8,26
27,1,2,0,0,142697,1473,1,25314,24694,0,0,12
42,0,0,0,1,124566,2907,2,217,5886,0,5,28
54,1,3,2,0,32760,4951,2,7186,12824,1,1,11
46,1,0,1,1,78889,3875,1,24371,20712,1,0,27
48,0,3,0,0,98778,4666,1,12398,3743,0,2,17
44,0,3,1,1,126161,4810,2,2752,7364,1,0,17
50,1,3,1,0,51076,2749,0,40012,13971,0,3,20
37,0,0,1,0,135335,4225,0,40989,459,0,2,11
44,0,0,1,2,86364,3080,1,44378,3038,0,7,7
48,0,1,2,2,116387,3176,1,48487,25266,0,2,23
67,1,1,1,1,60828,4801,1,38958,17792,0,2,8
34,0,3,1,0,94659,2869,0,20365,20860,1,8,24
48,1,2,0,0,93001,898,1,8731,10425,0,1,29
37,0,0,2,0,24091,4330,0,29453,6745,0,6,19
44,1,0,1,1,59142,793,1,49889,25715,1,4,25
42,0,0,2,1,76084,2409,1,37360,28139,1,7,23
45,1,0,2,1,55674,4609,2,49594,19543,0,0,22
28,1,0,0,0,119751,608,2,48233,2776,0,7,6
25,1,1,2,0,63838,4478,2,17707,15325,0,0,6
31,0,2,1,0,73783,4075,0,3864,17022,0,1,24
39,1,2,1,2,114858,4249,2,24453,27252,0,3,28
38,1,3,0,1,146773,770,1,4249,12944,0,3,13
52,1,0,0,0,54900,2299,0,24126,20973,0,5,21
44,0,2,0,1,127325,605,2,46065,4081,0,7,9
43,0,2,0,0,121535,2990,1,18745,19355,0,4,27
32,1,0,2,0,85859,3243,0,30220,23855,0,7,14
48,0,3,0,0,58703,2330,0,3749,6763,0,8,24
43,0,1,0,2,68687,624,2,36596,1653,0,7,23
47,1,3,0,0,115696,3702,2,41261,3025,1,5,16
42,0,0,0,2,61832,4002,1,2371,11189,0,9,10
49,1,0,1,0,73141,3560,0,9998,3934,0,5,26
63,1,3,0,1,54927,1387,1,10659,25864,0,0,22
23,1,2,1,0,49115,1796,0,24993,27443,0,7,9
43,0,0,1,1,117617,3892,2,13256,27400,0,2,24
44,0,0,1,0,39177,1215,1,47747,29600,0,2,11
36,1,3,0,1,113193,2140,2,17346,23249,1,3,14
64,1,3,2,0,50318,2768,0,3623,24336,0,4,26
48,1,3,1,0,54395,3501,0,6355,27206,0,1,9
48,1,3,0,0,52689,1792,0,22959,22646,1,4,25
46,0,0,1,1,118256,2124,1,34657,24519,1,0,5
28,1,2,2,1,68830,2318,0,5782,5400,0,0,21
43,0,1,2,0,134897,4030,2,20428,24891,0,9,7
49,0,0,1,0,64748,2049,1,23841,28465,0,3,26
29,0,3,1,0,83957,3287,0,45131,29663,0,8,10
21,1,1,0,0,68928,4073,1,37496,23470,0,2,21
33,1,0,2,2,108544,686,2,31004,29071,0,5,29
47,1,1,1,0,105635,3234,1,10581,15719,0,6,18
68,1,0,0,1,50971,575,0,28126,28761,0,1,6
30,1,2,0,0,106239,4030,1,18641,18385,0,3,9
32,1,1,0,2,57235,2674,2,22817,9933,0,1,21
45,1,2,0,0,124171,2221,2,18486,17636,0,1,26
51,1,2,1,0,50448,4135,1,23504,18000,0,3,27
32,0,0,0,0,91127,1040,0,3692,737,0,7,15
35,0,0,1,0,122649,1559,0,38185,12137,0,1,15
51,0,2,0,0,34961,3793,2,38871,12979,0,8,18
63,1,1,0,1,20732,4593,1,41505,3495,0,7,8
41,0,3,0,0,94685,3327,2,5478,3020,1,5,26
29,0,2,0,0,111195,761,0,30346,2686,1,3,19
29,0,3,1,0,143576,4057,1,12002,11312,0,1,28
49,0,0,1,0,42365,4152,0,11518,8206,1,3,24
25,0,3,0,0,135264,1658,2,7838,26498,0,6,24
30,1,1,2,1,95401,2174,0,59,253,0,4,9
56,1,1,1,2,52715,602,1,26961,14511,0,4,27
49,0,1,2,0,90857,3366,1,2234,15045,0,4,23
38,0,3,0,1,145436,4074,1,38672,6968,1,9,17
38,0,0,1,0,106635,2474,0,42445,1495,0,0,27
40,0,2,2,2,77539,945,0,4848,10891,0,8,22
33,1,0,0,0,124951,1609,2,45815,14420,1,7,8
42,1,3,0,1,112317,1875,0,1410,11552,0,7,26
48,0,1,1,0,137830,882,1,39312,4195,0,0,7
33,1,0,0,1,79776,3762,2,35758,13722,0,5,23
53,1,2,0,0,56210,2945,2,44696,10490,1,5,24
31,1,2,1,0,78833,1553,1,39025,21215,0,9,27
54,1,2,2,1,44937,2008,1,11896,4764,0,1,29
41,0,1,1,0,149020,3860,0,32942,27253,0,1,18
59,1,1,2,1,43298,2699,0,37,12587,0,8,26
51,1,3,1,1,65413,4061,0,21200,8617,0,1,26
27,1,1,1,1,132192,4987,2,38082,26224,0,1,11
38,0,3,0,1,68570,2121,2,34206,25947,0,1,14
56,1,1,0,0,65579,3208,2,47015,5209,0,5,13
29,1,3,0,1,71838,4950,1,7017,27586,0,9,12
34,1,1,1,2,73904,4186,0,18182,453,0,3,29
28,0,0,1,2,127528,3088,2,29697,7197,0,4,25
19,1,1,0,1,35810,502,2,39227,21618,0,9,10
34,1,2,1,0,49898,4031,2,13665,21165,0,5,27
68,0,3,2,0,29932,4999,2,22402,23986,0,6,26
46,1,2,1,1,138802,1864,1,20085,28962,1,5,13
58,1,1,2,0,28478,1703,0,39614,584,1,9,10
49,0,0,0,0,93925,1563,1,23360,9462,1,6,26
45,0,2,1,0,56559,1128,0,22648,3601,0,2,19
43,0,1,0,0,141415,1909,2,14380,24194,0,0,13
27,0,0,0,1,55216,1775,2,17099,18273,0,2,11
31,1,2,2,0,79638,1030,0,38667,28092,0,4,16
36,0,1,0,0,110128,1950,0,37015,19429,0,1,22
47,1,2,0,0,53535,683,0,23232,925,0,3,28
36,1,2,0,0,100180,2825,2,8630,20346,0,5,22
43,1,0,0,2,90589,4383,0,5023,24623,0,3,8
31,1,2,0,2,60265,573,0,6978,27849,0,4,25
32,1,2,1,0,88914,2305,2,37725,19135,1,1,6
27,0,2,0,0,116492,4907,1,37917,8401,0,4,17
29,0,2,2,0,144722,2691,1,41174,27205,0,1,18
37,0,0,0,1,105392,4398,1,30270,2776,1,0,12
48,1,0,2,0,133279,4558,2,45662,22067,0,4,21
47,0,2,0,2,132717,2172,2,38345,3861,1,0,27
25,0,1,1,1,58055,3583,2,2,7501,1,4,23
42,0,3,2,1,99782,4030,1,27177,10404,0,2,22
45,0,1,1,0,36192,2682,1,41839,19395,0,8,6
46,1,2,1,0,59394,1259,0,10129,13979,0,6,12
39,0,3,2,0,135628,2919,0,29622,27982,1,3,16
37,1,2,0,0,97902,4277,1,37431,23520,0,6,21
32,1,1,0,0,119934,1395,0,40416,26314,0,9,11
29,1,3,0,1,138856,4388,1,168,3222,1,7,11
31,0,3,1,1,86930,2555,0,48882,1854,0,8,9
39,1,0,0,1,146616,1772,0,27357,8231,0,7,12
31,0,3,0,1,138689,533,0,19437,7869,0,3,22
27,0,2,1,1,129047,683,2,41894,7290,0,0,24
66,1,2,1,1,53517,2891,1,17150,25882,0,4,25
39,0,2,0,0,25562,3132,0,22471,18288,0,6,12
26,1,1,0,2,26523,3201,0,6889,15084,0,0,7
18,1,1,1,0,20674,3001,2,49870,21321,0,2,25
39,1,2,0,0,94550,3405,2,26239,11726,0,6,27
45,0,1,0,1,63732,3961,2,44651,11970,0,1,21
27,0,0,0,1,123207,4767,2,398,22368,1,6,19
30,0,3,0,0,117583,1677,2,9768,17548,0,2,26
48,1,0,1,1,36863,2023,1,46954,6223,1,9,6
29,1,3,1,1,97370,3469,0,42196,11689,0,6,15
21,0,3,0,1,67683,1024,2,40299,13911,0,6,16
48,0,1,0,1,128352,4059,0,21919,17514,0,1,25
42,0,0,0,1,48708,4474,2,29787,28454,0,8,20
35,1,2,0,1,98670,4672,2,32921,10151,0,9,27
35,1,2,0,1,148621,2719,1,44269,1581,0,5,18
38,1,2,1,0,76326,4673,1,1558,23831,0,0,25
49,0,2,0,0,100322,3873,0,31073,2071,1,7,21
41,1,2,0,1,58507,3275,0,26636,3800,1,3,26
49,0,1,1,0,100799,2369,1,49591,24183,0,3,17
69,1,2,0,0,42235,4745,1,27154,10384,0,5,22
44,1,1,0,0,57057,4833,2,26845,5467,0,2,11
33,0,0,0,0,125723,3731,1,44396,16549,0,0,5
25,1,0,1,0,146286,2683,0,45940,28389,0,9,28
63,0,2,0,0,61418,4805,0,3191,28919,0,8,8
29,1,0,0,0,51877,1464,0,40928,7244,0,6,7
48,0,1,1,2,94902,2672,1,5031,12685,1,9,17
45,0,2,0,2,90039,2115,2,24888,2749,0,7,25
32,1,2,1,2,57577,2591,1,3370,19623,0,3,5
29,0,3,1,0,88594,3127,0,12029,13740,0,2,6
26,0,1,0,1,124371,2979,0,14923,5790,0,6,7
26,1,3,1,1,129359,4909,0,40824,29366,1,1,17
62,1,0,1,0,38624,2114,2,43947,2843,0,8,26
43,1,1,0,1,136321,2344,0,33608,22615,1,0,17
42,0,3,0,0,55515,2515,2,10290,21021,0,9,26
39,0,2,1,1,103191,4927,2,20456,6838,1,0,15
63,0,0,0,0,54534,4290,1,8235,22482,0,4,14
25,0,2,0,0,121155,1630,2,23219,14957,0,2,8
69,1,0,2,2,55662,3709,2,31362,26607,1,1,6
35,1,1,1,0,98114,1759,1,23490,12667,0,3,25
43,0,1,1,2,54531,4127,1,8325,837,0,5,23
32,1,3,2,0,63229,3742,1,36899,2466,0,4,21
18,0,2,1,2,51365,4558,1,45452,13824,0,7,23
35,1,0,0,0,52461,622,1,43684,20274,1,1,20
27,1,0,2,0,61497,3359,1,25851,19986,1,1,16
23,0,0,0,2,29663,1954,0,34490,12341,0,5,14
37,1,2,0,0,60878,2151,0,4141,7440,1,8,6
25,1,0,1,0,122038,3468,0,3589,1117,0,6,23
33,1,1,0,1,53636,2480,2,41016,16181,0,6,28
42,1,2,1,1,81895,2593,2,36997,25088,1,7,5
69,0,1,1,0,27182,3121,0,19410,454,1,9,24
60,1,2,1,0,63159,1772,1,12426,25302,0,9,11
49,1,0,0,0,149773,4700,1,31968,7760,0,1,15
40,0,2,0,0,118452,2766,2,34918,6387,0,3,14
20,0,2,1,1,44534,1005,0,31550,1467,0,9,12
34,0,0,0,0,80637,2749,1,33546,19715,0,9,9
19,1,2,1,0,21738,2383,2,9254,22129,0,3,23
32,0,1,1,0,53847,3309,1,23588,6979,1,0,19
49,0,1,0,0,111996,3775,1,11235,28647,1,1,23
42,1,2,2,1,148199,2890,1,42499,5261,1,8,27
27,1,2,1,0,53350,1900,2,10484,1673,0,1,25
30,0,2,1,1,107698,3086,1,33669,25950,0,3,6
37,1,3,0,0,71562,4265,1,43171,12552,1,8,11
43,0,0,2,0,131569,4295,1,40637,5166,0,6,14
63,0,1,0,0,27723,2898,0,26308,29251,0,1,13
30,1,2,0,1,57848,2204,2,28272,2741,0,6,8
39,0,1,1,0,134983,1377,2,23863,25472,0,7,15
46,0,3,0,0,116907,3234,1,21314,23154,0,4,16
43,0,1,1,1,99849,1002,0,35786,8337,0,0,15
42,1,1,0,1,127377,953,2,13578,26330,0,9,15
36,0,0,0,1,127594,1972,0,39397,13406,0,5,18
32,1,2,1,0,127256,2402,0,24674,7247,1,1,9
38,0,0,0,0,57909,918,0,33411,7023,0,8,6
47,1,3,2,0,115650,2562,2,42889,11421,0,8,25
49,0,2,2,1,107049,4328,2,4738,26363,0,7,25
25,1,1,0,0,104492,3286,2,43590,24733,0,1,28
18,1,1,0,1,43122,1509,2,4526,24880,0,8,11
25,0,3,0,1,73707,3001,0,9647,3714,0,4,11
41,0,0,0,2,86293,1039,1,37651,17708,0,5,24
45,1,1,0,0,134378,4210,2,41050,13647,0,3,21
42,0,2,1,2,103961,4904,0,48709,12927,0,9,21
69,1,1,0,0,23090,2230,0,29511,9726,0,5,19
49,0,0,0,0,74163,2475,0,22493,13952,0,1,13
32,0,1,0,0,28059,4827,0,6154,23827,1,0,13
43,1,2,1,2,68386,3723,2,1327,25305,0,0,25
48,0,1,0,1,117393,2528,2,38456,11530,0,7,25
47,1,3,0,1,36603,4152,2,45583,17823,0,2,5
33,0,3,2,1,109070,4510,0,31630,15014,0,5,8
49,1,3,0,0,101565,2744,2,38344,26740,0,6,28
26,0,1,2,0,130780,3302,0,1288,99,0,9,5
32,1,2,0,0,117616,4355,1,16842,6670,0,6,5
57,0,2,0,0,32789,2832,0,4370,26313,1,7,27
39,1,1,2,1,122112,4893,0,18495,23199,0,2,25
35,1,3,0,2,90099,1572,1,32286,6869,0,9,19
39,1,2,0,1,68904,3626,1,3878,8443,1,5,27
43,0,1,2,0,61213,4002,2,29880,26344,0,7,10
35,1,0,1,1,78105,930,0,39254,23225,1,9,6
25,0,1,1,0,126300,4712,1,19799,20831,0,9,14
41,0,3,1,0,81034,3209,1,35913,2602,0,6,9
28,0,1,0,0,48367,1025,0,4140,3031,1,7,19
38,0,3,1,0,114745,1899,2,41403,1180,0,3,19
36,0,2,1,0,56925,2631,2,12951,16676,0,9,21
47,0,2,0,1,26593,4226,0,18925,26425,0,4,11
36,1,1,2,0,93646,4886,2,44947,6705,0,1,29
