Age,Marital_Status,Dependents,Education,Annual_Income,Total_Existing_Loan_Amount,Credit_Score,Outstanding_Debt,Residential_Status,Loan_Approval_Status
62,married,2,high school,36180,16586,412,86,own,0
38,married,1,graduate,35069,18845,534,24338,own,0
47,divorced,2,graduate,94435,11226,774,6940,rent,1
26,single,0,graduate,68814,25601,781,24943,own,1
64,divorced,3,high school,48256,38730,427,22405,own,0
29,married,0,postgraduate,130193,37909,746,8213,rent,1
27,single,0,high school,114003,10150,734,20676,rent,1
33,single,3,postgraduate,52507,17548,846,3852,own,1
48,married,0,graduate,111688,4254,738,1645,rent,1
33,married,1,high school,128769,21810,833,18905,rent,1
46,married,3,graduate,147912,4635,797,8629,rent,1
44,married,2,graduate,66106,24624,762,22053,other,1
58,married,3,postgraduate,23985,39105,457,15835,own,0
28,single,0,high school,98127,24716,825,23416,own,1
28,married,2,high school,54806,46624,711,17020,own,1
51,married,0,high school,24722,594,495,26715,own,0
39,single,1,high school,52485,20335,723,16190,own,1
39,married,0,postgraduate,81274,31617,816,12553,rent,1
34,single,1,graduate,27398,39473,549,4617,own,0
34,married,3,postgraduate,96348,850,818,17332,rent,1
47,single,2,postgraduate,47832,16332,512,4499,own,0
28,single,0,postgraduate,145887,48989,728,21477,rent,1
37,married,3,postgraduate,113482,29737,818,9069,own,1
30,married,1,graduate,100169,46007,728,16619,own,0
44,single,2,high school,93945,47739,730,15137,own,1
33,single,1,graduate,42270,48650,430,2392,own,0
44,single,0,graduate,74747,31879,763,17249,own,1
19,married,1,graduate,29119,39887,551,26317,own,0
33,single,0,postgraduate,65743,17436,473,7454,other,0
27,married,3,high school,56048,2195,765,18756,own,1
36,married,3,high school,22723,11087,316,1432,other,0
31,married,3,graduate,126377,18668,842,16253,rent,1
28,single,1,postgraduate,88858,23505,723,6712,own,1
49,single,1,high school,34025,10867,508,3722,own,0
39,single,1,high school,82931,768,722,13881,own,1
27,married,1,high school,115100,11357,818,13673,own,1
45,married,2,high school,114248,15792,840,21314,own,0
28,single,0,high school,52864,1151,771,3462,rent,1
25,single,1,high school,109997,39120,757,26744,own,1
30,single,3,high school,108294,29740,846,6850,own,1
45,divorced,3,graduate,132867,21925,728,8364,own,1
47,single,0,postgraduate,88989,32876,713,4290,rent,1
48,married,2,high school,54402,44281,747,24463,own,1
27,married,3,high school,144616,37868,747,16802,own,1
44,married,1,high school,112829,9482,823,2302,own,1
38,single,0,high school,33718,4146,479,29612,rent,1
32,married,1,high school,96436,41352,753,17703,rent,1
39,single,1,graduate,134158,38942,709,27391,rent,1
31,divorced,1,high school,134223,21929,711,18022,own,1
31,married,1,graduate,50247,27547,757,3335,own,1
38,single,0,high school,140341,36601,754,9190,own,1
49,married,2,graduate,49478,7759,562,22450,rent,0
54,divorced,3,graduate,54537,26822,442,24262,own,0
32,single,0,graduate,29537,6232,577,28154,other,0
21,married,2,graduate,28019,32812,557,11413,own,0
41,married,1,high school,96835,42358,719,11423,own,1
30,married,3,postgraduate,94872,43532,726,1432,own,1
62,married,3,postgraduate,46884,31094,330,15378,rent,0
42,divorced,2,high school,141233,36401,708,22801,own,1
34,single,0,graduate,49524,35005,543,8913,own,1
59,married,2,graduate,25220,22643,354,20934,own,0
69,married,1,postgraduate,61875,28007,413,924,rent,0
38,married,0,high school,92802,10596,719,23342,other,1
69,married,2,high school,52296,31629,518,26182,other,0
25,single,2,graduate,67814,20820,718,146,rent,1
25,married,2,high school,79399,33086,828,15912,rent,1
41,married,3,high school,143988,39066,775,5350,own,1
49,married,2,high school,39954,21898,482,27707,own,0
57,married,3,postgraduate,34369,36981,509,2173,rent,1
41,single,1,graduate,77221,32563,730,28313,own,1
45,single,0,high school,94122,19988,739,19650,own,1
34,married,2,high school,100994,12141,829,5667,own,1
48,married,1,high school,62271,32226,495,16493,own,0
30,single,3,graduate,100289,35688,829,4186,own,1
31,divorced,0,graduate,59378,2170,768,14016,own,1
45,married,1,high school,65927,17492,714,1856,own,1
40,married,1,high school,113839,22852,744,18964,own,0
49,single,3,postgraduate,104141,25247,845,28064,own,1
41,married,0,high school,115262,49270,711,7958,own,1
47,married,0,graduate,23549,17710,455,21474,own,0
56,single,0,postgraduate,37744,7063,453,19493,other,0
30,married,2,graduate,98647,19099,722,4931,own,1
28,married,2,graduate,31797,42808,387,21622,rent,0
30,married,2,graduate,141291,39480,710,7912,rent,1
42,married,1,graduate,52740,14019,811,22129,own,1
33,divorced,0,graduate,128849,4491,749,16879,rent,1
28,married,3,high school,96592,47711,788,26114,own,1
49,married,1,graduate,62978,30412,463,10361,rent,0
33,married,0,high school,55287,19083,752,17095,own,1
27,single,1,graduate,59235,48987,807,18469,rent,1
44,married,2,graduate,27857,22438,398,27563,own,0
27,single,3,graduate,112596,43512,835,638,rent,1
63,married,3,graduate,52512,31305,478,26394,rent,0
44,single,1,graduate,28819,18727,414,19430,other,0
45,married,1,high school,129755,8323,829,1986,other,1
53,married,1,high school,36231,11047,438,23816,own,0
37,divorced,3,high school,82462,25078,839,9324,own,1
40,married,2,graduate,74856,29961,806,2144,own,1
32,single,3,high school,85768,2049,721,24204,rent,1
38,married,1,graduate,53634,10617,814,2119,own,1
43,single,2,high school,61581,27305,415,28538,own,0
29,married,2,high school,64613,16269,719,26740,own,0
49,single,2,graduate,115274,19984,774,24593,rent,0
46,single,1,postgraduate,21027,40675,494,29808,own,1
27,single,3,postgraduate,93844,34887,832,9927,own,0
48,single,2,postgraduate,130199,42222,828,3669,own,1
39,married,0,graduate,65279,6,780,3173,rent,1
54,single,0,high school,67304,1559,367,8553,own,0
38,married,3,graduate,119695,8716,726,28145,rent,1
32,married,0,postgraduate,80635,22423,841,16884,rent,1
35,married,0,high school,75150,3359,800,28392,rent,1
25,married,3,high school,140131,42819,702,19170,other,0
42,married,1,graduate,50366,48470,335,9315,own,0
45,single,0,high school,76510,15431,747,19323,rent,1
43,married,1,graduate,74480,42437,743,25460,other,1
26,married,1,graduate,100210,33072,736,13356,own,0
20,divorced,0,high school,68047,45707,535,23328,own,0
66,married,2,high school,53032,45738,543,13856,own,1
46,married,0,postgraduate,62742,12576,806,5528,own,1
31,married,1,high school,142683,27655,709,825,own,0
35,married,3,graduate,130912,11611,716,11491,own,1
47,single,3,high school,101967,1432,797,12142,rent,1
40,single,1,graduate,123602,43680,753,29359,other,1
42,married,1,graduate,103772,35826,811,11895,own,1
43,married,1,graduate,78069,24966,822,10423,own,1
37,single,1,high school,54525,26649,514,20201,other,0
47,married,3,graduate,92456,27806,811,25725,other,1
27,single,1,high school,60804,18464,310,25373,own,0
36,married,3,postgraduate,78286,12747,754,5516,rent,1
63,divorced,1,postgraduate,47990,30582,302,4947,rent,0
46,single,3,high school,95021,46151,831,12768,rent,1
47,divorced,1,graduate,98402,39194,789,3557,own,1
25,single,2,high school,55583,4020,330,14500,own,1
31,single,1,high school,88322,35764,847,17325,own,1
37,married,1,high school,50305,24832,761,21535,rent,1
37,married,0,graduate,117320,20683,770,20666,rent,1
24,married,2,high school,38507,41564,485,10293,own,0
37,married,0,high school,111363,7358,833,29787,rent,1
26,married,1,postgraduate,49660,44158,519,27077,rent,0
30,married,3,graduate,107806,27336,704,23449,rent,1
25,divorced,0,graduate,124459,30603,798,17961,own,1
43,married,1,high school,119607,33749,771,13616,own,1
45,married,2,postgraduate,97307,17081,812,23610,rent,1
49,married,0,graduate,132810,4095,846,14969,rent,1
41,single,0,graduate,92870,26107,784,414,own,0
26,single,1,high school,65540,13901,825,15783,rent,0
43,married,2,high school,58605,15513,790,5746,own,1
35,married,1,graduate,81759,51,761,27826,own,1
53,married,0,graduate,32553,4910,412,25584,rent,0
40,married,2,high school,39269,12901,371,25303,own,0
40,single,2,postgraduate,30596,3607,520,9384,own,0
26,single,2,postgraduate,109717,7638,754,17517,own,1
52,divorced,2,graduate,58246,27204,547,2324,own,0
41,married,1,graduate,63648,9382,820,4821,rent,1
37,single,2,postgraduate,54337,12239,722,9522,rent,1
49,single,1,graduate,46364,34886,487,2672,own,0
34,married,1,graduate,33561,49324,595,28362,rent,0
30,divorced,2,high school,77674,27320,828,10029,own,0
44,single,2,graduate,127628,15146,744,11915,rent,1
35,married,0,graduate,96759,36232,761,13001,own,0
34,single,0,graduate,81181,32514,791,24729,other,1
65,married,1,graduate,48080,19695,482,12733,own,1
35,married,1,graduate,106227,36596,827,12872,rent,1
53,married,0,high school,62698,17640,433,7904,own,0
49,single,0,postgraduate,99070,46844,800,23514,rent,1
68,married,2,postgraduate,59287,46793,486,14349,rent,0
20,married,2,high school,65805,41694,499,21293,rent,0
48,divorced,1,high school,64813,49846,816,17900,own,1
39,married,2,postgraduate,93518,40688,740,10727,own,1
32,married,2,graduate,62560,32201,598,10469,own,0
38,married,0,postgraduate,101128,14453,727,22950,rent,1
42,married,0,high school,142173,45061,708,13614,rent,1
34,single,2,graduate,101951,3062,783,14521,own,1
29,married,0,graduate,135227,16969,787,16177,rent,0
55,single,0,high school,48206,9325,594,3456,rent,0
45,married,0,graduate,130877,9659,717,15931,own,1
61,married,3,high school,27739,24203,320,21552,own,0
25,married,1,graduate,146163,20707,809,470,own,1
61,single,1,postgraduate,46758,11458,318,3939,own,0
49,single,1,postgraduate,55020,37940,725,19364,own,1
35,married,0,graduate,95093,8325,768,14504,own,1
34,single,3,graduate,110609,36130,836,21575,other,1
51,married,1,high school,21243,31306,575,18046,other,0
39,married,3,postgraduate,99309,45871,715,18354,own,1
36,single,2,graduate,62366,4229,424,5246,own,0
46,married,3,high school,74977,41572,790,25832,rent,1
43,married,1,high school,106642,27785,821,10038,own,0
61,married,2,postgraduate,43201,18609,453,10381,rent,1
46,married,2,high school,51181,6001,816,19339,own,1
47,single,0,high school,72485,4854,721,13888,own,1
43,single,3,graduate,69063,30698,742,27993,rent,1
28,married,3,graduate,77424,16327,750,19010,rent,1
36,single,2,graduate,72939,46790,788,28303,rent,0
46,married,3,graduate,57641,3130,708,15243,own,1
25,married,1,high school,127130,42872,770,15394,rent,1
18,single,0,high school,38599,9283,485,10187,rent,0
54,married,2,high school,48093,30469,458,7991,own,0
48,single,2,postgraduate,86744,14437,849,24003,own,1
37,single,3,high school,128189,14015,750,23224,rent,1
41,single,2,graduate,115186,8754,802,21794,own,0
66,single,1,postgraduate,51688,3251,327,16158,own,0
25,divorced,2,high school,99603,27496,723,14715,other,0
41,single,0,high school,90452,49812,829,16229,own,1
42,single,0,graduate,61678,19465,422,25320,rent,0
26,single,1,postgraduate,102356,34438,801,15349,rent,1
60,single,3,graduate,42511,9659,523,29206,rent,0
42,divorced,2,postgraduate,89201,10019,776,21439,own,1
38,married,1,graduate,73328,28364,777,17510,own,1
30,married,0,high school,51646,38446,586,26057,own,1
29,married,2,high school,136490,28945,766,10941,own,1
28,married,0,postgraduate,37023,22488,313,4087,own,1
37,single,3,graduate,98768,22772,753,10754,own,1
65,single,0,high school,31600,1922,378,11060,own,0
33,divorced,3,graduate,149955,23443,796,304,own,1
28,single,2,high school,84883,7661,766,15013,other,1
46,married,3,high school,52720,28425,832,1325,own,1
28,married,2,graduate,56188,36358,743,14185,other,1
35,divorced,2,graduate,125795,10552,728,3070,own,1
30,married,2,high school,119983,32505,788,2561,own,1
43,divorced,3,high school,62278,44166,828,379,rent,1
44,married,3,high school,141487,18695,705,15241,own,1
33,single,0,postgraduate,54147,42753,749,24421,own,1
25,married,0,graduate,143793,30039,711,1892,own,0
47,single,2,high school,68012,21270,794,8748,rent,1
36,divorced,3,graduate,64312,3639,369,3245,own,0
33,single,2,postgraduate,123271,28235,762,23070,rent,1
36,single,1,high school,98850,40509,802,5287,rent,1
31,married,1,graduate,62572,31493,707,9147,own,1
60,single,3,high school,51095,38277,517,23005,rent,0
26,married,0,graduate,135718,11232,814,9224,own,1
35,married,3,graduate,79049,45098,760,22512,own,1
29,married,3,high school,148090,23446,749,7601,other,0
40,single,1,graduate,144986,47992,757,14214,other,0
64,divorced,0,graduate,34899,11398,403,8616,rent,0
41,single,3,high school,149190,20019,720,26193,other,1
41,married,3,high school,83312,12962,823,9432,own,0
33,single,3,high school,35614,37252,335,18507,rent,1
36,divorced,0,high school,87937,7458,764,25753,rent,0
40,single,2,high school,50467,22374,357,15412,own,0
35,married,3,high school,111091,21627,833,8179,own,1
57,divorced,2,graduate,30203,14554,477,3439,own,0
57,divorced,1,graduate,47431,1689,573,5225,rent,0
36,single,2,graduate,130788,38715,739,7286,own,1
40,divorced,0,graduate,45727,19829,558,14990,other,0
43,single,2,graduate,111456,38968,839,4690,own,1
43,divorced,0,high school,117670,15009,766,3901,rent,1
42,single,3,high school,110568,43439,708,22194,rent,1
25,married,2,high school,122003,18884,801,18175,own,1
32,married,0,graduate,35921,41070,450,28065,own,0
40,married,3,graduate,94638,29480,749,5433,own,1
41,married,0,high school,33468,7737,320,28620,rent,0
46,single,1,postgraduate,55307,35789,789,8206,own,1
45,single,0,postgraduate,119156,29415,820,2391,rent,1
41,married,2,graduate,78705,18307,774,25425,own,0
45,married,2,graduate,141609,38891,813,5291,own,1
43,single,0,high school,43080,7702,568,21784,other,0
57,married,1,graduate,61151,35355,305,10474,rent,0
41,single,3,graduate,47309,28903,360,1131,rent,0
27,married,2,postgraduate,49826,39999,370,24436,other,0
30,divorced,3,high school,124179,34286,777,14055,own,1
26,married,3,graduate,135680,25407,804,10468,rent,1
26,married,3,graduate,53369,14327,790,4189,own,1
42,single,0,graduate,148821,47780,822,29127,own,1
48,single,3,high school,82402,6277,759,23029,own,1
36,divorced,3,high school,78633,30281,741,3261,own,1
48,single,0,graduate,60413,11326,794,3557,own,1
32,married,0,high school,117602,48301,849,25105,rent,1
18,married,1,postgraduate,25732,32834,379,26109,rent,0
37,married,3,graduate,98160,38275,714,7929,own,1
49,married,2,high school,103143,35019,737,22595,own,1
34,single,2,postgraduate,62361,14937,809,19221,own,1
53,single,1,high school,31646,35609,469,29995,own,0
58,single,1,graduate,21902,1385,338,264,own,0
31,married,1,graduate,120184,21265,727,6722,own,1
43,divorced,2,graduate,133579,5656,805,29604,own,1
46,married,1,high school,58511,39565,308,29080,own,0
34,single,2,high school,96980,13327,816,22881,own,1
52,single,3,graduate,39808,11340,308,10928,own,0
49,married,0,postgraduate,54473,40228,570,15634,own,0
42,married,0,postgraduate,122165,6812,834,6558,own,1
47,single,3,high school,78095,649,702,1552,rent,0
32,married,3,graduate,97377,22414,778,19167,own,0
25,divorced,3,high school,80466,22334,846,4632,rent,0
35,divorced,2,graduate,47137,21692,361,6073,rent,0
56,single,0,graduate,65534,47166,331,11377,rent,0
39,married,2,high school,25619,28385,482,79,own,0
39,single,0,graduate,103551,18828,716,13574,own,0
33,single,2,high school,106821,3282,829,14605,rent,1
47,single,3,high school,113664,33078,848,18268,rent,1
33,married,1,graduate,106230,18237,788,14425,own,1
29,single,1,high school,92088,41403,770,12960,rent,1
37,married,2,postgraduate,89215,22099,795,1032,own,1
46,single,2,graduate,134687,26479,771,15280,rent,1
62,single,3,graduate,62898,33634,522,622,own,0
46,single,1,postgraduate,116243,15126,716,19888,rent,1
46,married,3,postgraduate,41067,44898,468,29817,own,0
27,married,1,graduate,112441,21174,811,25423,own,1
43,married,0,graduate,99545,18317,825,15153,rent,1
61,divorced,0,graduate,40942,39602,359,7128,own,0
66,single,1,high school,52157,20616,415,12750,rent,1
28,married,3,graduate,71197,7945,752,16353,rent,1
43,married,3,graduate,59926,22005,763,6627,own,1
31,single,0,graduate,75189,47827,763,22655,own,1
30,married,2,postgraduate,123599,7884,788,8697,own,1
31,married,0,graduate,49933,19719,339,23558,rent,0
49,single,0,high school,143519,7065,796,2659,rent,1
37,single,2,postgraduate,125960,19724,704,11131,other,0
43,married,1,high school,33410,20323,406,21709,own,0
43,married,2,graduate,67204,8345,730,27624,rent,1
30,single,2,high school,68913,38926,786,15016,other,0
49,single,3,postgraduate,93159,9724,727,540,own,1
34,married,1,high school,106807,48660,733,20486,other,1
27,married,0,postgraduate,52511,15960,822,15730,own,1
33,single,3,postgraduate,119024,5934,795,20906,own,1
27,divorced,2,graduate,100649,34141,831,20712,other,1
34,married,2,high school,46365,10489,561,975,own,0
44,single,0,high school,48505,31346,301,17888,rent,1
43,single,1,high school,140035,37622,802,26275,own,1
38,married,3,postgraduate,129126,18601,797,3421,own,0
29,married,2,graduate,89012,4934,765,74,rent,1
32,divorced,3,high school,77835,31026,723,17145,own,1
64,single,3,high school,62290,20808,423,15430,own,0
41,married,1,high school,100525,21829,759,29460,own,1
28,married,2,graduate,78809,19697,768,27566,own,0
34,married,2,high school,52189,37371,803,27232,own,1
40,single,3,graduate,149923,39621,768,5328,rent,1
32,married,3,graduate,134422,49280,839,2640,rent,1
28,single,2,graduate,67670,6933,435,15235,own,0
39,married,1,high school,64265,48845,556,5347,own,0
69,married,2,high school,21336,19954,505,8339,rent,0
68,married,3,graduate,52284,39416,303,29583,own,0
50,single,1,graduate,41628,17274,536,5327,rent,0
34,divorced,2,high school,101245,164,747,17099,own,1
36,single,1,high school,53448,4424,809,10931,own,0
49,married,0,graduate,53605,6615,344,11914,own,0
48,single,1,graduate,122607,515,716,26321,own,1
26,single,2,graduate,69769,28647,725,4976,own,1
31,single,2,graduate,112171,49097,787,8087,other,1
43,single,0,graduate,141141,27964,847,6951,rent,0
45,single,0,graduate,106763,28914,848,19960,own,1
30,married,3,graduate,127435,32193,832,29785,rent,0
36,married,1,postgraduate,112251,22242,718,9683,own,1
20,single,3,high school,52230,29024,306,1230,rent,1
40,married,2,high school,142926,16265,849,23897,own,1
33,married,1,graduate,26895,42794,303,23407,own,0
46,single,2,postgraduate,118571,1575,812,20306,rent,0
35,single,0,high school,88271,25508,769,12888,own,1
31,married,0,high school,100572,35175,838,18688,own,1
38,married,3,high school,110141,43248,726,6549,other,1
34,married,2,high school,140023,35625,797,26416,own,1
30,divorced,2,graduate,21451,47466,524,18135,rent,0
33,married,1,graduate,53277,36785,586,14122,own,0
45,single,2,graduate,29774,40618,500,10416,own,0
31,single,2,postgraduate,78364,20293,705,29258,own,1
42,married,3,high school,144760,34902,733,9344,own,1
39,single,0,graduate,105741,32067,845,12451,own,1
42,married,2,high school,61526,23370,814,21572,own,1
39,married,3,graduate,105137,42487,798,1640,rent,1
35,married,3,postgraduate,116238,6968,805,25620,own,1
35,married,1,postgraduate,148568,39634,784,8250,rent,0
43,married,2,graduate,124289,37535,826,28291,rent,0
31,married,1,graduate,142815,23092,722,6550,own,1
41,single,2,postgraduate,60098,42216,740,7420,rent,1
32,divorced,1,postgraduate,101403,41564,704,12779,own,1
69,single,2,high school,29731,38436,443,682,own,0
30,single,3,graduate,99216,17876,824,28351,rent,1
38,single,2,postgraduate,59853,1882,715,12306,own,1
29,single,0,postgraduate,139821,11787,810,25503,own,1
25,married,1,high school,132671,40824,766,1098,rent,1
38,single,2,postgraduate,41300,34254,467,25450,own,0
26,single,2,postgraduate,67629,40402,368,918,rent,0
25,married,3,graduate,115103,33977,702,7860,rent,1
29,married,2,high school,147594,6379,821,2977,rent,1
37,single,0,high school,54390,4635,394,17566,own,0
47,married,2,high school,63018,38538,731,17862,own,1
54,married,0,high school,52378,1170,302,20630,rent,0
26,married,3,high school,53823,46273,737,11629,own,1
40,divorced,0,postgraduate,140074,3952,755,8763,own,1
63,married,2,high school,69705,21275,351,15900,own,1
28,single,1,graduate,69953,17144,783,20779,own,1
39,married,1,high school,106459,20837,719,1030,own,1
44,single,3,high school,78651,39444,713,21236,rent,1
43,married,0,high school,100416,49600,827,18048,own,1
60,single,0,graduate,50873,24048,445,2787,own,0
29,married,3,high school,75892,15146,705,8351,other,1
32,married,2,high school,76659,49040,779,8037,own,1
33,married,0,high school,47612,4368,381,1807,own,0
26,married,2,high school,145767,35187,749,19160,own,0
39,married,0,high school,149047,26618,736,26881,rent,0
31,single,0,high school,60680,26286,493,12203,own,0
44,single,0,postgraduate,30319,17482,431,4330,own,0
26,married,1,postgraduate,134300,9499,752,857,rent,0
49,married,0,graduate,83750,41460,741,19781,other,1
46,married,1,graduate,27726,28007,420,29232,other,0
22,married,2,high school,55408,34865,449,27215,rent,0
45,married,0,postgraduate,28211,2166,434,28204,own,0
26,divorced,0,high school,84801,42186,813,22268,rent,1
26,single,1,graduate,104713,5390,715,18555,own,1
27,single,0,postgraduate,100123,11490,716,28525,rent,0
58,married,2,postgraduate,66456,19359,321,18183,own,1
39,single,3,graduate,67123,46551,452,21448,rent,1
41,single,2,high school,103561,46430,827,24525,rent,0
40,single,1,postgraduate,105793,682,709,29123,own,1
43,married,3,high school,58403,7658,750,14008,own,1
22,married,3,graduate,42563,48009,378,26375,rent,0
28,single,2,high school,105101,48347,762,17864,rent,1
29,married,1,high school,115889,30745,782,20691,own,1
25,single,1,high school,68415,49038,816,8134,rent,1
41,married,0,graduate,66919,30956,841,5791,own,1
42,married,0,postgraduate,51795,854,700,2224,own,1
68,married,2,high school,25997,38748,383,13274,rent,0
25,single,3,postgraduate,25984,24786,592,25273,own,1
40,married,1,graduate,93288,12655,736,16238,own,1
37,single,1,graduate,85979,31217,722,2314,other,0
43,divorced,2,graduate,29079,23421,500,12826,own,1
43,single,3,high school,141423,34001,703,17326,own,1
27,single,0,graduate,65220,37175,798,9089,own,1
64,single,1,high school,66790,12875,396,8464,own,0
61,married,0,graduate,40122,49634,362,18874,other,1
64,married,0,high school,69692,31464,484,14916,own,0
33,single,0,postgraduate,141830,10043,820,9827,own,1
33,married,2,postgraduate,58410,21072,812,4604,other,1
38,married,0,postgraduate,129660,28096,728,7546,own,1
26,married,3,high school,54766,34000,767,10611,rent,1
65,married,0,high school,28778,30854,555,25801,own,0
35,single,3,postgraduate,117577,35142,724,7301,other,1
42,married,0,graduate,26898,35001,402,5474,rent,0
47,married,3,graduate,64014,2058,803,7376,own,1
48,married,0,high school,105852,35276,826,10565,other,1
34,single,3,postgraduate,67974,4817,511,7968,rent,0
36,married,2,postgraduate,110052,24320,845,11496,rent,0
26,single,2,high school,124032,35571,776,10416,rent,1
32,married,1,graduate,85040,25465,728,17521,own,1
40,married,3,graduate,84683,34829,756,8790,own,0
27,married,0,high school,139264,29164,734,27590,own,1
47,married,0,postgraduate,115739,20475,725,19390,own,0
31,married,0,graduate,102165,49088,815,21418,rent,1
41,divorced,1,graduate,30744,41799,398,13067,own,0
48,single,3,postgraduate,65085,40886,817,19721,own,1
32,married,1,high school,121593,13388,711,25339,own,1
45,married,3,graduate,91430,47190,790,3931,own,1
41,single,0,high school,131506,20631,748,10435,own,1
49,married,3,high school,89140,15793,805,7718,rent,1
35,single,1,high school,97692,31431,810,26836,own,1
36,single,2,graduate,76677,28959,713,7867,own,0
42,married,2,high school,36905,20479,527,5506,own,0
56,single,3,graduate,45027,29096,516,12249,own,0
69,married,0,high school,41554,35387,344,27443,other,0
34,married,2,high school,68863,42746,747,1211,rent,1
34,married,2,graduate,100481,15520,747,24024,own,1
53,married,2,graduate,28081,13648,351,4739,rent,1
41,divorced,2,postgraduate,73394,4513,830,7811,own,1
58,married,3,graduate,51848,29560,569,15048,own,0
46,single,3,postgraduate,131893,36959,818,21308,rent,1
39,married,1,postgraduate,146126,5263,757,7314,own,1
40,married,0,graduate,50258,48724,438,7928,own,0
51,single,1,postgraduate,58037,39803,534,1328,other,0
60,divorced,1,graduate,23447,20356,386,6635,own,1
52,single,2,high school,20356,29430,599,17461,own,0
44,single,3,graduate,54017,13172,836,10689,own,1
43,single,0,graduate,78736,27587,798,12371,own,1
59,single,2,high school,63309,40900,421,14517,own,0
33,single,1,graduate,61747,31521,744,6078,own,1
32,single,3,graduate,98704,933,731,15858,rent,1
40,married,2,postgraduate,60377,41310,780,11874,own,1
37,single,1,postgraduate,109755,12751,834,12928,own,1
26,single,0,graduate,69368,9112,825,29230,own,1
39,married,0,high school,99368,18134,819,7002,own,0
42,single,1,graduate,58062,40742,403,10270,own,0
28,married,1,high school,28225,3860,561,18684,own,0
48,single,1,graduate,105272,29617,782,2228,rent,1
28,divorced,2,postgraduate,67534,5782,735,20279,rent,1
27,single,2,high school,57503,40089,846,4738,own,1
28,single,2,graduate,133612,28453,757,26323,own,1
26,married,0,high school,94096,27030,789,19747,other,0
32,married,3,high school,141362,9644,793,5346,own,1
30,single,0,postgraduate,58402,17022,775,22728,other,1
34,married,3,graduate,104544,41493,807,20510,rent,0
41,married,2,graduate,61365,16102,701,18683,own,1
31,married,0,postgraduate,78007,22146,798,24490,own,1
44,divorced,3,high school,65547,19707,815,20522,own,1
37,married,0,high school,95538,32346,797,203,other,1
35,married,2,graduate,88240,32426,718,13565,own,1
37,married,3,graduate,44099,18109,366,7582,own,0
29,single,2,high school,96503,49983,848,21481,own,1
41,single,0,graduate,38846,44574,472,12914,own,0
34,married,3,high school,118712,2882,762,19700,rent,1
51,married,2,graduate,53142,307,300,3735,own,0
47,single,1,high school,86943,1994,829,17484,other,1
26,married,3,high school,29683,42678,479,19301,own,0
48,single,1,high school,73431,39568,815,14240,other,1
43,married,1,graduate,29483,37028,459,6320,other,0
42,married,1,high school,93814,45086,733,18356,own,1
28,married,3,high school,108579,6667,842,27263,rent,0
34,single,2,postgraduate,53381,6240,448,22683,own,0
44,married,2,high school,106174,2597,720,17215,rent,1
22,married,0,postgraduate,24730,22004,427,17521,other,0
30,married,0,postgraduate,60349,23872,835,11760,own,1
26,married,2,postgraduate,117887,9717,700,27264,other,1
48,single,0,postgraduate,49774,28674,469,2293,other,1
29,single,0,high school,79466,32829,845,26459,rent,1
44,married,1,graduate,105426,30566,798,14332,rent,1
29,married,2,postgraduate,41705,27604,330,18295,own,1
28,married,2,high school,22094,27400,425,24749,own,1
47,married,1,postgraduate,22574,36225,304,27035,own,0
42,single,2,high school,124313,10033,798,20653,own,1
32,married,0,postgraduate,58523,47483,738,15652,own,1
38,single,1,high school,120350,42214,779,9140,own,1
48,single,2,postgraduate,114541,13471,804,26614,own,1
63,married,1,postgraduate,31855,2505,430,27547,rent,0
45,single,2,high school,73516,685,821,16204,own,1
47,single,1,graduate,80061,17076,846,19526,other,1
28,divorced,2,postgraduate,102021,43802,712,3369,other,0
22,married,1,high school,33790,48914,476,24248,own,1
63,divorced,1,postgraduate,32927,12409,476,27834,rent,0
38,married,3,high school,75896,46240,775,11672,own,1
27,married,2,postgraduate,77728,45738,771,2855,rent,0
49,single,1,high school,30000,49707,468,1607,rent,0
28,married,3,high school,101057,37032,833,10112,other,1
44,divorced,0,graduate,144428,17132,766,27685,rent,1
31,married,1,high school,67808,12798,833,4910,rent,1
34,single,3,high school,120702,5465,741,22964,own,1
36,married,0,postgraduate,54108,40462,771,29364,rent,1
34,single,1,graduate,52688,36031,311,26079,own,0
47,married,2,graduate,135974,30864,847,12847,rent,0
45,single,2,postgraduate,76151,33878,801,23151,rent,1
63,single,1,postgraduate,41743,45444,435,12703,own,0
25,married,2,high school,63810,29931,506,22082,own,0
35,married,3,postgraduate,128860,26826,809,21980,rent,0
32,single,0,postgraduate,120031,36913,798,17659,own,1
46,single,2,postgraduate,66112,10494,778,23303,own,0
43,married,3,postgraduate,141584,27821,784,16544,rent,1
42,married,3,postgraduate,62607,20626,760,11694,rent,1
49,single,0,graduate,57648,35759,813,2540,own,1
32,single,1,high school,81681,20503,738,21416,rent,1
40,married,3,graduate,71098,19912,786,1393,own,1
45,divorced,2,graduate,72287,36546,729,20141,rent,1
40,married,2,postgraduate,108084,35254,742,17570,rent,1
34,single,2,graduate,67661,15208,847,9560,own,1
43,single,0,postgraduate,85166,27889,751,5697,rent,0
31,divorced,2,graduate,99688,20613,753,25700,own,1
35,single,0,high school,140066,17264,749,12179,own,0
26,single,2,postgraduate,95410,11477,780,15612,own,1
45,married,2,graduate,104251,46950,761,9515,own,1
28,divorced,1,high school,97210,28594,760,26956,rent,1
43,divorced,3,high school,60843,41956,565,5589,own,0
